,A2-e003Coalescence-Inoculumn-mGAM,A2-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,0.0,0.0
A9-e003Coalescence-mBHI-p3,0.0,0.0
A9-e003Coalescence-mBHI-p5,0.0,0.0
A9-e003Coalescence-mBHI-p7,0.0,0.0
A9-e003Coalescence-mGAM-p5,0.0,0.0
B2-e003Coalescence-Inoculumn-mGAM,0.0,0.0
B8-e003Coalescence-mBHI-p5,0.0,0.0
B8-e003Coalescence-mGAM-p5,0.0,0.0
B8-e003Coalescence-mGAM-p7,0.0,0.0
E9-e003Coalescence-mBHI-p5_S6,0.0,0.0
E9-e003Coalescence-mBHI-p7_S102,0.0,0.0
E9-e003Coalescence-mGAM-p3_S154,0.0,0.0
E9-e003Coalescence-mGAM-p5_S54,0.0,0.0
F8-e003Coalescence-mBHI-p3_S117,0.0,0.0
F8-e003Coalescence-mBHI-p5_S17,0.0,0.0
F8-e003Coalescence-mBHI-p7_S113,0.0,0.0
F8-e003Coalescence-mGAM-p5_S65,0.0,0.0
F8-e003Coalescence-mGAM-p7_S161,0.0,0.0
