,GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_0_abundances_trial_000,GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_12_abundances_trial_000
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_0_abundances_trial_001,1,33683
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_10_abundances_trial_000,1,33475
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_10_abundances_trial_001,1,33336
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_11_abundances_trial_000,1,33375
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_11_abundances_trial_001,1,33506
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_12_abundances_trial_001,1,33278
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_1_abundances_trial_000,1,33614
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_1_abundances_trial_001,0,33686
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_2_abundances_trial_000,0,33766
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_2_abundances_trial_001,1,33725
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_3_abundances_trial_000,0,33617
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_3_abundances_trial_001,0,33674
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_4_abundances_trial_000,1,33478
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_4_abundances_trial_001,1,33563
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_5_abundances_trial_000,0,32622
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_5_abundances_trial_001,1,32588
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_6_abundances_trial_000,1,30821
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_6_abundances_trial_001,1,30589
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_7_abundances_trial_000,1,32382
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_7_abundances_trial_001,1,32404
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_8_abundances_trial_000,1,33464
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_8_abundances_trial_001,1,33373
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_9_abundances_trial_000,1,33484
GUT_GENOME001553_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001553_9_abundances_trial_001,1,33275
