,est,input,est_meds,est_03,est_34,reads_vals3,reads_vals4,reads_vals0,genome,sample_input,sample_infer
16,0.004801081301786266,0.005,0.0,0.004801081301786266,0.0,14.0,0.0,38563.0,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
17,0.005665760676137884,0.007,0.0,0.005665760676137884,0.0,23.0,0.0,38549.0,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
18,0.9918354166793641,0.992,1.0,0.9918354166793641,0.982051282051282,60.0,7.0,37634.0,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
19,0.9928618848071072,0.995,1.0,0.9928618848071072,0.9846153846153847,40.0,4.0,37544.0,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
20,0.994975527578602,0.997,1.0,0.994975527578602,0.9560439560439561,14.0,4.0,37678.0,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
21,0.029993183367416496,0.02,0.0,0.01577399736225349,0.029993183367416496,489.0,99.0,37979.0,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
22,0.048856040997494826,0.05,0.0,0.031897549826820776,0.048856040997494826,3563.0,1175.0,33466.0,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
23,0.06716949979361327,0.07,0.0,0.03979991214864907,0.06716949979361327,5922.0,2685.0,28634.0,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
24,0.9658653846153846,0.98,1.0,0.9818949640783272,0.9658653846153846,640.0,142.0,36814.0,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
25,0.9434762129062647,0.95,1.0,0.9640526420941267,0.9434762129062647,4246.0,1560.0,31204.0,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
26,0.9271638757566385,0.93,1.0,0.9549078025111798,0.9271638757566385,6964.0,3297.0,25929.0,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
27,0.677,0.7,0.677,0.677,0.677,,,,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
0,0.0,0.0,0.0,0.0,,0.0,0.0,41469.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
1,0.0,0.0001,0.0,0.0,,0.0,0.0,41472.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
2,0.0,0.001,0.0,0.0,,0.0,0.0,41476.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
3,0.007532956685499059,0.01,0.0,0.009546246705069372,0.007532956685499059,118.0,6.0,41347.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
4,0.083,0.1,0.083,0.083,0.083,,,,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
5,0.192,0.2,0.192,0.192,0.192,,,,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
6,0.394,0.4,0.394,0.394,0.394,,,,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
7,0.5,0.5,0.5,0.5,0.5,,,,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
8,0.6,0.6,0.6,0.6,0.6,,,,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
9,0.8,0.8,0.8,0.8,0.8,,,,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
10,0.912,0.9,0.912,0.912,0.912,,,,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
11,0.9914974019839395,0.99,1.0,0.9903797971600677,0.9914974019839395,146.0,9.0,40342.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
12,0.9963515827436377,0.999,1.0,0.9963515827436377,0.9655172413793104,8.0,2.0,40526.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
13,0.9966863372696549,0.9999,1.0,0.9966863372696549,0.9540229885057472,6.0,2.0,40568.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
14,0.996351102475453,1.0,1.0,0.996351102475453,0.9482758620689655,8.0,3.0,40510.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
15,0.001944306980520692,0.002,0.0,0.001944306980520692,0.0,1.0,0.0,41473.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
16,0.004451816984594059,0.005,0.0,0.004451816984594059,0.0,12.0,0.0,41460.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
17,0.006814256402295867,0.007,0.0,0.006814256402295867,0.0103359173126615,43.0,3.0,41426.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
18,0.9917576777217282,0.992,1.0,0.9917576777217282,0.9865067466266867,92.0,9.0,40420.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
19,0.9943283521355392,0.995,1.0,0.9943283521355392,0.9862068965517241,30.0,3.0,40453.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
20,0.9952166228148158,0.997,1.0,0.9952166228148158,0.9770114942528736,18.0,3.0,40460.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
21,0.020970742431929645,0.02,0.0,0.01700739711485909,0.020970742431929645,657.0,93.0,40711.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
22,0.053978473644847653,0.05,0.0,0.0342387846904096,0.053978473644847653,4556.0,1660.0,34601.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
23,0.07251992565289986,0.07,0.0,0.042082981053426595,0.07251992565289986,7054.0,3453.0,28852.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
24,0.9839175062674425,0.98,1.0,0.9834510953695013,0.9839175062674425,729.0,85.0,39571.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
25,0.9555233117661864,0.95,1.0,0.9676062145264954,0.9555233117661864,4658.0,1502.0,33711.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
26,0.9280945145340348,0.93,1.0,0.9604735984340088,0.9280945145340348,6967.0,3632.0,27755.0,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
27,0.7,0.7,0.7,0.7,0.7,,,,GUT_GENOME001553,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
0,0.0,0.0,0.0,0.0,,0.0,0.0,408.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
1,0.0,0.0001,0.0,0.0,,0.0,0.0,408.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
2,0.0,0.001,0.0,0.0,,0.0,0.0,408.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
3,0.0,0.01,0.0,0.0,,0.0,0.0,408.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
4,0.04825649067970044,0.1,0.0,0.04825649067970044,0.06981694338016177,87.0,41.0,236.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
5,0.172,0.2,0.172,0.172,0.172,,,,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
6,0.348,0.4,0.348,0.348,0.348,,,,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
7,0.485,0.5,0.485,0.485,0.485,,,,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
8,0.556,0.6,0.556,0.556,0.556,,,,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
9,0.765,0.8,0.765,0.765,0.765,,,,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
10,0.893,0.9,0.893,0.893,0.893,,,,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
11,0.9858195382965762,0.99,1.0,0.9858195382965762,1.0,3.0,0.0,404.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
12,1.0,0.999,1.0,1.0,,0.0,0.0,398.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
13,0.9901515385240395,0.9999,1.0,0.9901515385240395,1.0,1.0,0.0,402.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
14,1.0,1.0,1.0,1.0,-inf,0.0,1.0,406.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
15,0.0,0.002,0.0,0.0,,0.0,0.0,408.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
16,0.0,0.005,0.0,0.0,,0.0,0.0,408.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
17,0.0,0.007,0.0,0.0,,0.0,0.0,408.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
18,1.0,0.992,1.0,1.0,-inf,0.0,1.0,400.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
19,0.9901351517026781,0.995,1.0,0.9901351517026781,1.0,1.0,0.0,400.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
20,1.0,0.997,1.0,1.0,,0.0,0.0,404.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
21,0.013119241594847052,0.02,0.0,0.013119241594847052,0.0,3.0,0.0,405.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
22,0.029897785650014757,0.05,0.0,0.029897785650014757,0.05092592592592592,32.0,11.0,365.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
23,0.037346984811420944,0.07,0.0,0.037346984811420944,0.07956104252400549,54.0,29.0,316.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
24,0.9771846615856639,0.98,1.0,0.9771846615856639,0.9866666666666667,12.0,1.0,388.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
25,0.9622508766814019,0.95,1.0,0.9622508766814019,0.9467455621301775,52.0,18.0,330.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
26,0.9574412185948055,0.93,1.0,0.9574412185948055,0.9096459096459096,63.0,37.0,279.0,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
27,0.68,0.7,0.68,0.68,0.68,,,,GUT_GENOME001637,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7
0,0.0,0.0,0.0,0.0,,0.0,0.0,38485.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
1,0.0,0.0001,0.0,0.0,,0.0,0.0,38485.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
2,0.0,0.001,0.0,0.0,,0.0,0.0,38486.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
3,0.009950248756218905,0.01,0.0,0.008356138013859137,0.009950248756218905,134.0,11.0,38344.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
4,0.083,0.1,0.083,0.083,0.083,,,,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
5,0.178,0.2,0.178,0.178,0.178,,,,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
6,0.37,0.4,0.37,0.37,0.37,,,,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
7,0.471,0.5,0.471,0.471,0.471,,,,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
8,0.571,0.6,0.571,0.571,0.571,,,,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
9,0.784,0.8,0.784,0.784,0.784,,,,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
10,0.895,0.9,0.895,0.895,0.895,,,,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
11,0.9895833333333334,0.99,1.0,0.9904158472483999,0.9895833333333334,180.0,15.0,37438.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
12,0.9956452890152954,0.999,1.0,0.9956452890152954,0.9779411764705882,17.0,3.0,37694.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
13,0.9964766184254122,0.9999,1.0,0.9964766184254122,0.9444444444444444,9.0,4.0,37676.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
14,0.9975579091891248,1.0,1.0,0.9975579091891248,0.8333333333333334,3.0,4.0,37717.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
15,0.0,0.002,0.0,0.0,,0.0,0.0,38488.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
16,0.0036275034080834353,0.005,0.0,0.0036275034080834353,0.0,11.0,0.0,38475.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
17,0.0061676322337391055,0.007,0.0,0.0061676322337391055,0.006734006734006734,54.0,3.0,38428.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
18,0.9924632203777921,0.992,1.0,0.9924632203777921,0.9914772727272727,88.0,6.0,37638.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
19,0.9949184044380218,0.995,1.0,0.9949184044380218,0.9768518518518519,27.0,5.0,37676.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
20,0.9949845477154786,0.997,1.0,0.9949845477154786,0.9855769230769231,26.0,3.0,37735.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
21,0.019106576483625664,0.02,0.0,0.015219930184157814,0.019106576483625664,793.0,125.0,37553.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
22,0.04957749355390468,0.05,0.0,0.02944206287407203,0.04957749355390468,4748.0,1942.0,31061.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
23,0.06541899347654744,0.07,0.0,0.036569874598047426,0.06541899347654744,7228.0,3901.0,24675.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
24,0.9720496894409938,0.98,1.0,0.9830576207142498,0.9720496894409938,966.0,216.0,36371.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
25,0.948066783831283,0.95,1.0,0.9668315114025138,0.948066783831283,5690.0,2364.0,28552.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
26,0.92273917486269,0.93,1.0,0.9594305988106934,0.92273917486269,7829.0,4839.0,21469.0,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
27,0.676,0.7,0.676,0.676,0.676,,,,GUT_GENOME000472,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
0,0.0,0.0,0.0,0.0,,0.0,0.0,41144.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
1,0.0,0.0001,0.0,0.0,,0.0,0.0,41154.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
2,0.0,0.001,0.0,0.0,,0.0,0.0,41152.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
3,0.008293460925039874,0.01,0.0,0.009184095164864297,0.008293460925039874,190.0,13.0,40950.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
4,0.094,0.1,0.094,0.094,0.094,,,,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
5,0.194,0.2,0.194,0.194,0.194,,,,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
6,0.395,0.4,0.395,0.395,0.395,,,,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
7,0.5,0.5,0.5,0.5,0.5,,,,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
8,0.6,0.6,0.6,0.6,0.6,,,,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
9,0.8,0.8,0.8,0.8,0.8,,,,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
10,0.905,0.9,0.905,0.905,0.905,,,,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
11,0.9858966565349544,0.99,1.0,0.9906497064104225,0.9858966565349544,235.0,29.0,40229.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
12,0.9969749591273572,0.999,1.0,0.9969749591273572,0.9,8.0,7.0,40443.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
13,0.9968533119194718,0.9999,1.0,0.9968533119194718,0.9238095238095239,9.0,6.0,40423.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
14,0.9961127094267453,1.0,1.0,0.9961127094267453,0.9798319327731092,17.0,3.0,40500.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
15,0.002300350346877163,0.002,0.0,0.002300350346877163,0.0,3.0,0.0,41148.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
16,0.00595562265290339,0.005,0.0,0.00595562265290339,0.009324009324009324,52.0,4.0,41099.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
17,0.006962242427584547,0.007,0.0,0.006962242427584547,0.007301935012778386,83.0,5.0,41062.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
18,0.9757269279393174,0.992,1.0,0.9926802189806881,0.9757269279393174,113.0,24.0,40321.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
19,0.9947398361021086,0.995,1.0,0.9947398361021086,0.9755102040816327,42.0,9.0,40383.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
20,0.9963543701753593,0.997,1.0,0.9963543701753593,0.9836734693877551,14.0,2.0,40435.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
21,0.021162262478533044,0.02,0.0,0.016614199385801207,0.021162262478533044,1094.0,191.0,39828.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
22,0.05357927097057532,0.05,0.0,0.03162504902431731,0.05357927097057532,5934.0,2623.0,31323.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
23,0.07497227246674558,0.07,0.0,0.038334376420575994,0.07497227246674558,8142.0,5036.0,24131.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
24,0.9778006166495375,0.98,1.0,0.9841470437358881,0.9778006166495375,1112.0,216.0,39059.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
25,0.9521292418937781,0.95,1.0,0.9693724137732729,0.9521292418937781,6243.0,2615.0,30409.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
26,0.9314478160761538,0.93,1.0,0.9632282956191118,0.9314478160761538,8314.0,4987.0,23400.0,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
27,0.7,0.7,0.7,0.7,0.7,,,,GUT_GENOME001553,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
0,0.0,0.0,0.0,0.0,,0.0,0.0,415.0,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
1,0.0,0.0001,0.0,0.0,,0.0,0.0,415.0,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
2,0.0,0.001,0.0,0.0,,0.0,0.0,415.0,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
3,0.014201986731297595,0.01,0.0,0.014201986731297595,0.0,7.0,0.0,408.0,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
4,0.077,0.1,0.077,0.077,0.077,,,,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
5,0.159,0.2,0.159,0.159,0.159,,,,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
6,0.367,0.4,0.367,0.367,0.367,,,,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
7,0.45,0.5,0.45,0.45,0.45,,,,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
8,0.5674999999999999,0.6,0.5674999999999999,0.5674999999999999,0.5674999999999999,,,,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
9,0.7635000000000001,0.8,0.7635000000000001,0.7635000000000001,0.7635000000000001,,,,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
10,0.893,0.9,0.893,0.893,0.893,,,,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125
