species_id	median_abundance	mean_abundance	median_coverage	mean_coverage	sample_counts
102506	0.088	0.106	47.496	76.846	452
100196	0.061	0.098	33.311	67.004	449
101346	0.038	0.078	23.507	58.687	453
100099	0.041	0.050	23.326	37.645	456
102438	0.018	0.045	10.172	31.857	441
100120	0.013	0.052	6.175	46.305	316
102478	0.008	0.013	4.149	9.687	374
100146	0.007	0.008	3.312	5.607	366
103439	0.011	0.013	2.060	10.240	272
102320	0.009	0.040	2.005	37.211	275
102515	0.009	0.011	1.503	3.759	289
100044	0.002	0.003	1.064	2.516	266
102544	0.002	0.003	0.972	2.401	254
101059	0.001	0.074	0.732	59.936	258
100150	0.001	0.005	0.400	3.174	231
100198	0.001	0.002	0.351	1.761	201
102279	0.001	0.004	0.319	2.561	207
101294	0.001	0.006	0.092	4.503	228
104644	0.000	0.000	0.000	0.003	1
104642	0.000	0.000	0.000	0.005	1
104639	0.000	0.000	0.000	0.046	1
104628	0.000	0.000	0.000	0.000	0
104625	0.000	0.000	0.000	0.000	0
104619	0.000	0.000	0.000	0.000	0
104618	0.000	0.000	0.000	0.051	8
104608	0.000	0.000	0.000	0.000	0
104607	0.000	0.000	0.000	0.000	0
104603	0.000	0.000	0.000	0.000	0
104602	0.000	0.000	0.000	0.000	0
104601	0.000	0.000	0.000	0.000	0
104597	0.000	0.000	0.000	0.000	0
104593	0.000	0.000	0.000	0.052	4
104591	0.000	0.000	0.000	0.000	0
104590	0.000	0.000	0.000	0.000	0
104583	0.000	0.000	0.000	0.000	0
104582	0.000	0.000	0.000	0.000	0
104581	0.000	0.000	0.000	0.012	1
104580	0.000	0.000	0.000	0.003	1
104579	0.000	0.000	0.000	0.000	0
104578	0.000	0.000	0.000	0.000	0
104557	0.000	0.000	0.000	0.014	2
104553	0.000	0.000	0.000	0.000	0
104552	0.000	0.000	0.000	0.442	32
104550	0.000	0.000	0.000	0.000	0
104549	0.000	0.000	0.000	0.000	0
104548	0.000	0.000	0.000	0.000	0
104547	0.000	0.000	0.000	0.000	0
104542	0.000	0.000	0.000	0.000	0
104534	0.000	0.000	0.000	0.012	1
104533	0.000	0.000	0.000	0.001	0
104526	0.000	0.000	0.000	0.143	6
104524	0.000	0.000	0.000	0.000	0
104522	0.000	0.000	0.000	0.000	0
104519	0.000	0.000	0.000	0.014	1
104518	0.000	0.000	0.000	0.009	2
104514	0.000	0.000	0.000	0.000	0
104506	0.000	0.000	0.000	0.000	0
104505	0.000	0.000	0.000	0.000	0
104500	0.000	0.000	0.000	0.000	0
104498	0.000	0.000	0.000	0.018	1
104497	0.000	0.000	0.000	0.000	0
104494	0.000	0.000	0.000	0.074	3
104490	0.000	0.000	0.000	0.023	1
104489	0.000	0.000	0.000	0.001	0
104488	0.000	0.000	0.000	0.008	1
104481	0.000	0.000	0.000	0.003	1
104480	0.000	0.000	0.000	0.000	0
104467	0.000	0.000	0.000	0.000	0
104466	0.000	0.000	0.000	0.000	0
104463	0.000	0.000	0.000	0.012	2
104453	0.000	0.000	0.000	0.010	1
104452	0.000	0.000	0.000	0.004	1
104450	0.000	0.000	0.000	0.000	0
104449	0.000	0.000	0.000	0.000	0
104442	0.000	0.000	0.000	0.000	0
104440	0.000	0.000	0.000	0.000	0
104436	0.000	0.000	0.000	0.001	0
104433	0.000	0.000	0.000	0.007	2
104431	0.000	0.000	0.000	0.014	1
104427	0.000	0.000	0.000	0.000	0
104422	0.000	0.000	0.000	0.000	0
104421	0.000	0.000	0.000	0.000	0
104415	0.000	0.000	0.000	0.000	0
104408	0.000	0.000	0.000	0.000	0
104407	0.000	0.000	0.000	0.000	0
104404	0.000	0.000	0.000	0.047	1
104403	0.000	0.000	0.000	0.000	0
104399	0.000	0.000	0.000	0.000	0
104398	0.000	0.000	0.000	0.000	0
104396	0.000	0.000	0.000	0.000	0
104389	0.000	0.000	0.000	0.008	1
104388	0.000	0.000	0.000	0.005	1
104387	0.000	0.000	0.000	0.000	0
104386	0.000	0.000	0.000	0.000	0
104383	0.000	0.000	0.000	0.000	0
104378	0.000	0.000	0.000	0.000	0
104373	0.000	0.000	0.000	0.000	0
104368	0.000	0.000	0.000	0.000	0
104367	0.000	0.000	0.000	0.000	0
104366	0.000	0.000	0.000	0.000	0
104364	0.000	0.000	0.000	0.000	0
104363	0.000	0.000	0.000	0.000	0
104358	0.000	0.000	0.000	0.000	0
104356	0.000	0.000	0.000	0.000	0
104355	0.000	0.000	0.000	0.000	0
104353	0.000	0.000	0.000	0.000	0
104352	0.000	0.000	0.000	0.002	1
104350	0.000	0.000	0.000	0.000	0
104349	0.000	0.000	0.000	0.000	0
104346	0.000	0.000	0.000	0.000	0
104345	0.000	0.000	0.000	0.032	3
104344	0.000	0.000	0.000	0.000	0
104342	0.000	0.000	0.000	0.000	0
104341	0.000	0.000	0.000	0.005	0
104336	0.000	0.000	0.000	0.007	1
104335	0.000	0.000	0.000	0.000	0
104332	0.000	0.000	0.000	0.000	0
104331	0.000	0.000	0.000	0.000	0
104328	0.000	0.000	0.000	0.000	0
104326	0.000	0.000	0.000	0.000	0
104325	0.000	0.000	0.000	0.000	0
104324	0.000	0.000	0.000	0.000	0
104321	0.000	0.002	0.000	0.000	0
104320	0.000	0.000	0.000	0.000	0
104319	0.000	0.000	0.000	0.005	1
104318	0.000	0.000	0.000	0.000	0
104317	0.000	0.000	0.000	0.026	5
104316	0.000	0.000	0.000	0.009	1
104308	0.000	0.000	0.000	0.000	0
104307	0.000	0.000	0.000	0.000	0
104305	0.000	0.000	0.000	0.000	0
104297	0.000	0.000	0.000	0.000	0
104296	0.000	0.000	0.000	0.027	5
104294	0.000	0.000	0.000	0.000	0
104286	0.000	0.000	0.000	0.000	0
104285	0.000	0.001	0.000	0.332	62
104280	0.000	0.000	0.000	0.000	0
104279	0.000	0.000	0.000	0.000	0
104277	0.000	0.000	0.000	0.000	0
104276	0.000	0.000	0.000	0.000	0
104271	0.000	0.000	0.000	0.000	0
104269	0.000	0.000	0.000	0.010	3
104267	0.000	0.000	0.000	0.000	0
104266	0.000	0.001	0.000	0.167	4
104263	0.000	0.000	0.000	0.000	0
104262	0.000	0.000	0.000	0.001	0
104260	0.000	0.000	0.000	0.018	1
104259	0.000	0.000	0.000	0.098	15
104258	0.000	0.000	0.000	0.000	0
104254	0.000	0.000	0.000	0.033	2
104253	0.000	0.000	0.000	0.000	0
104252	0.000	0.000	0.000	0.022	4
104250	0.000	0.000	0.000	0.023	2
104245	0.000	0.000	0.000	0.002	0
104242	0.000	0.000	0.000	0.000	0
104240	0.000	0.000	0.000	0.000	0
104239	0.000	0.000	0.000	0.000	0
104238	0.000	0.000	0.000	0.000	0
104237	0.000	0.000	0.000	0.007	1
104236	0.000	0.000	0.000	0.009	0
104235	0.000	0.000	0.000	0.001	0
104234	0.000	0.000	0.000	0.002	0
104232	0.000	0.000	0.000	0.000	0
