,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,21215,4195
C9-e003Coalescence-mGAM-p3,21036,4060
D2-e004Assembly-mGAM-p7,18888,3745
C11-e003Coalescence-mBHI-p3,21277,4220
D11-e003Coalescence-mBHI-p5,21090,4153
C9-e003Coalescence-mGAM-p7,21025,4040
C8-e003Coalescence-mGAM-p7,21338,4246
D10-e003Coalescence-mBHI-p3,21380,4254
F3-e004Assembly-epsilon-p3,19322,3797
B2-e003Coalescence-mBHI-p3,21412,4262
A8-e003Coalescence-mBHI-p3,21154,4236
e004-inoculumn-fecal-BD,19024,3542
A4-e003Coalescence-mBHI-p7,21369,4256
B4-e003Coalescence-mBHI-p5,19003,3689
B9-e003Coalescence-mGAM-p5,21126,4071
A4-e003Coalescence-mBHI-inoculumn-redo,21352,4253
B3-e003Coalescence-mBHI-p3,21410,4257
D4-e003Coalescence-mBHI-p5,21372,4254
C2-e003Coalescence-mBHI-p5,21153,4188
B3-e004Assembly-mBHI-p7,19374,3845
D4-e003Coalescence-mBHI-p3,21391,4257
C4-e003GlycerolRevival-mBHI-p2,21315,4245
D10-e003Assembly-mGAM-p5,19648,3862
B2-e003Assembly-mBHI-p5,20468,4144
C3-e004Assembly-mBHI-p5,19337,3813
B2-e003Coalescence-mBHI-p5,21305,4219
B8-e003Assembly-mGAM-p5,20194,4079
F4-e004Assembly-epsilon-p5,19373,3778
C4-e003Coalescence-mGAM-p7,21231,4217
B12-e003Coalescence-mBHI-p3,21055,4130
D3-e004Assembly-mGAM-p7,18989,3774
C8-e003Assembly-mGAM-p3,20621,4152
C3-e003Coalescence-mGAM-p3,21395,4255
B4-e003Assembly-mBHI-p5,20942,4035
D4-e004Assembly-mGAM-p5,20539,4069
D3-e003Coalescence-Inoculumn-mBHI,21408,4262
C8-e003Assembly-mGAM-p5,19388,3927
C3-e003Coalescence-mBHI-p7,21402,4259
D11-e003Coalescence-mGAM-p5,20958,4129
A11-e003Coalescence-mGAM-p7,20819,4106
B8-e003Coalescence-mBHI-p5,21236,4170
B10-e003Assembly-mGAM-p5,20966,4145
C2-e003Coalescence-mGAM-p7,21081,4122
D3-e003Coalescence-mBHI-p5,21397,4250
B11-e003Coalescence-mGAM-p3,21297,4215
C4-e003Coalescence-mBHI-inoculumn-redo,20881,3985
B5-e003Assembly-mBHI-p5,20999,4151
D2-e003Coalescence-mBHI-p5,21146,4214
D8-e003Assembly-mGAM-p5,20057,4044
D5-e003Coalescence-mGAM-p5,20933,4127
B5-e003Coalescence-mBHI-p5,21393,4251
D5-e003Coalescence-mBHI-p7,21129,4165
C9-e003Coalescence-mBHI-p5,21379,4233
A10-e003Coalescence-mBHI-p3,21240,4231
A5-e003Coalescence-mGAM-p3,21047,4183
A2-e003Coalescence-Inoculumn-mGAM,20978,4194
D8-e003Coalescence-mGAM-p5,20955,4112
A12-e003Coalescence-mGAM-p3,20619,4052
C2-e003Coalescence-mBHI-p3,21042,4141
C4-e004Assembly-mBHI-p5,20542,4086
D9-e003Coalescence-mGAM-p7,21114,4086
D4-e003Coalescence-mBHI-p7,21281,4214
D8-e003Assembly-mGAM-p3,20141,4045
E4-e004Assembly-mGAM-p7,20490,4070
E3-e004Assembly-mGAM-p3,19306,3855
D2-e004Assembly-mGAM-p3,18612,3653
B10-e003Coalescence-mGAM-p3,21020,4057
A9-e003Coalescence-mGAM-p7,21093,4145
B5-e003Coalescence-Inoculumn-mGAM,21097,4140
D10-e003Coalescence-mBHI-p5,21388,4251
D5-e003Coalescence-mBHI-p3,21169,4187
C5-e003Coalescence-mBHI-p3,21352,4241
D9-e003Coalescence-mGAM-p5,21221,4154
C9-e003Coalescence-mBHI-p3,21365,4234
D10-e003Coalescence-mGAM-p5,21091,4157
C8-e003Coalescence-mBHI-p7,21292,4236
B11-e003Assembly-mGAM-p5,20642,4004
G3-e004Assembly-epsilon-p7,19435,3828
B4-e003Coalescence-mGAM-p5,21199,4172
D4-e003Coalescence-mGAM-p5,21122,4196
C3-e004Assembly-mBHI-p7,19355,3836
B5-e003Coalescence-mGAM-p5,20948,4112
B5-e003Coalescence-Inoculumn-mBHI,21391,4260
G3-e004Assembly-epsilon-p3,19384,3856
C2-e003Coalescence-mGAM-p3,20940,4069
B5-e003Coalescence-mGAM-p7,20471,3980
D8-e003Coalescence-mBHI-p5,21048,4141
C10-e003Assembly-mGAM-p3,19648,3884
B10-e003Coalescence-mBHI-p5,21382,4247
D5-e003Coalescence-Inoculumn-mGAM,20801,4064
F2-e004Assembly-epsilon-p3,19417,3792
B3-e004Assembly-mBHI-p5,19344,3826
B5-e003Coalescence-mBHI-p3,21375,4254
G4-e004Assembly-epsilon-p5,19297,3748
C4-e003Coalescence-mGAM-p5,21213,4211
C5-e003Coalescence-mGAM-p7,20905,4108
C5-e003Coalescence-mBHI-inoculumn-redo,21364,4244
A2-e003Coalescence-mBHI-p7,21091,4218
A10-e003Coalescence-mBHI-p5,21315,4239
D2-e003Coalescence-mBHI-p7,14925,2952
B8-e003Assembly-mGAM-p3,20079,4034
A4-e003Coalescence-mGAM-p5,21107,4171
D5-e003Coalescence-mBHI-p5,21113,4204
D3-e003Assembly-mBHI-p3,20929,4017
D4-e003Coalescence-mGAM-p7,21203,4203
E4-e004Assembly-mGAM-p3,18653,3716
A8-e003Coalescence-mBHI-p7,21144,4240
E3-e004Assembly-mGAM-p7,18858,3761
B9-e003GlycerolRevival-mGAM-p2,20189,3828
C4-e003Coalescence-mGAM-p3,21197,4201
B2-e003Coalescence-Inoculumn-mGAM,21238,4211
D5-e003Coalescence-mGAM-p7,19717,3850
C5-e003Coalescence-mBHI-p5,21406,4258
C5-e003Coalescence-mGAM-p3,21208,4213
A3-e003Coalescence-mBHI-inoculumn-redo,21295,4234
D9-e003Assembly-mGAM-p5,20572,3901
B12-e003Coalescence-mGAM-p3,21071,4131
A11-e003Coalescence-mBHI-p7,20869,4101
A3-e003Coalescence-Inoculumn-mGAM,21075,4183
D10-e003Assembly-mGAM-p3,20045,3964
C3-e003Coalescence-mGAM-p5,21186,4176
B4-e004Assembly-mBHI-p5,20564,4090
C10-e003GlycerolRevival-mGAM-p2,20475,4050
D3-e003Assembly-mBHI-p5,20986,4015
A10-e003Coalescence-mGAM-p3,21312,4235
A9-e003Coalescence-mBHI-p3,21270,4174
A2-e003Coalescence-Inoculumn-mBHI,21412,4262
D3-e003Coalescence-mBHI-p7,21402,4259
C3-e003Coalescence-mBHI-p5,21409,4261
D2-e003Assembly-mBHI-p3,20973,4220
B3-e003Assembly-mBHI-p5,21380,4225
A9-e003Coalescence-mBHI-p5,21141,4119
D5-e003Coalescence-Inoculumn-mBHI,21203,4198
B2-e003Coalescence-mGAM-p3,21308,4228
B4-e003Assembly-mBHI-p3,21023,4150
C11-e003Coalescence-mGAM-p5,21008,4145
G4-e004Assembly-epsilon-p3,19148,3556
B3-e003Coalescence-Inoculumn-mBHI,21412,4262
A8-e003Coalescence-mBHI-p5,21095,4233
C2-e003Assembly-mBHI-p5,20779,4191
D9-e003Coalescence-mBHI-p3,20601,4030
D5-e003Assembly-mBHI-p5,21153,4194
A5-e003Coalescence-mBHI-p7,21181,4231
G2-e004Assembly-epsilon-p3,19429,3787
BG-Fecal,19251,3586
D2-e003Coalescence-mGAM-p5,21191,4222
B9-e003Assembly-mGAM-p5,20504,3860
D3-e003Coalescence-mGAM-p3,21282,4207
D9-e003Coalescence-mGAM-p3,21219,4168
E2-e004Assembly-mGAM-p7,19156,3742
D3-e003Coalescence-mGAM-p5,21317,4222
C10-e003Coalescence-mGAM-p3,21134,4184
A5-e003Coalescence-mBHI-inoculumn-redo,21355,4250
B11-e003Assembly-mGAM-p3,18544,3578
D2-e003Assembly-mBHI-p5,20723,4170
B9-e003Coalescence-mGAM-p7,20973,4046
B11-e003Coalescence-mGAM-p7,20983,4078
C3-e003Coalescence-Inoculumn-mGAM,21260,4200
B5-e003Coalescence-mBHI-p7,21410,4259
A3-e003Coalescence-mGAM-p7,21151,4130
D4-e003Coalescence-Inoculumn-mBHI,21378,4253
A4-e003Coalescence-mBHI-p5,21360,4257
B3-e003Coalescence-mBHI-p7,21394,4247
C2-e004Assembly-mBHI-p7,20594,4070
D10-e003Coalescence-mGAM-p7,21135,4176
C12-e003Coalescence-mGAM-p3,20663,4057
C11-e003Coalescence-mGAM-p3,21279,4225
A10-e003Coalescence-mBHI-p7,21302,4241
C10-e003Coalescence-mBHI-p7,21286,4220
B9-e003Coalescence-mBHI-p5,21179,4143
F4-e004Assembly-epsilon-p3,19190,3579
B10-e003Coalescence-mBHI-p3,21370,4233
C11-e003Coalescence-mBHI-p5,21351,4239
A2-e003Coalescence-mGAM-p7,20707,4135
C5-e003Assembly-mBHI-p3,21085,4160
E3-e004Assembly-mGAM-p5,19305,3779
E2-e004Assembly-mGAM-p5,19278,3769
C3-e003GlycerolRevival-mBHI-p2,21055,4076
D10-e003Coalescence-mGAM-p3,21123,4174
B10-e003Coalescence-mGAM-p7,20278,3887
C4-e004Assembly-mBHI-p3,20764,4116
A9-e003Coalescence-mBHI-p7,21278,4196
C2-e003Coalescence-Inoculumn-mGAM,21272,4227
B3-e003Coalescence-Inoculumn-mGAM,20931,4027
D11-e003Coalescence-mGAM-p7,21020,4140
D5-e003Coalescence-mGAM-p3,21129,4167
D4-e004Assembly-mGAM-p3,18063,3561
E4-e004Assembly-mGAM-p5,20373,4028
D2-e003Coalescence-Inoculumn-mBHI,21326,4242
B4-e003Coalescence-Inoculumn-mGAM,21349,4233
F2-e004Assembly-epsilon-p7,19356,3779
A10-e003Coalescence-mGAM-p7,21265,4220
